httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
0s,HTTP/1.1,2002:a05:6600:2e47:b0:16d:ad4:406a,POST,651,https://b8929a5e4a541edf47081f42f7b9ecdb-dot-ua4e69bdd3c41e656p-tp.appspot.com/_ah/push-handlers/pubsub/projects/taller3-pcuneo/topics/visits?pubsub_trigger=true,14,429,CloudPubSub-Google,616329e1000d74448753bb9f,,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-10T17:58:57.944609308Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-10T17:58:57.881732Z,projects/taller3-pcuneo/traces/23371c6428b92ce95672f75bfde57cbf
,,,,,,,,,000000-ac155fd5-8dcf-43c2-a3ba-48f4b5650624,ykgwfs1uella,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.875365261Z,projects/taller3-pcuneo/traces/9b150a5f4237c5903f3230d2b0e43e74
,,,,,,,,,000000-12f86c92-343a-4674-a902-326ae67f5a74,ykgwq6ktujut,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 96 ms, finished with status: 'ok'",2021-10-10T17:58:57.872417166Z,projects/taller3-pcuneo/traces/fce663a85384ba10cd5559e8faa92a1b
,,,,,,,,,000000-1f60e3d8-6fe8-41b4-8c54-cdcefefeff1a,ykgwq6ktujut,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.03999999999999915 about,2021-10-10T17:58:57.871Z,projects/taller3-pcuneo/traces/fce663a85384ba10cd5559e8faa92a1b
,,,,,,,,,000000-b1cd17cc-8051-47d3-a4ad-c355cade9558,27ddy6txvge6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.869310386Z,projects/taller3-pcuneo/traces/cbf383ca631df0724f15c083b0c979ea
,,,,,,,,,000000-d693bf7d-ec0c-48ac-a2c9-89266a792a8f,27dda1ftxnn6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 155 ms, finished with status: 'ok'",2021-10-10T17:58:57.866307999Z,projects/taller3-pcuneo/traces/7a48cd44c39cdd43ddb645d7e09bca4a
,,,,,,,,,000000-ce7579e4-90be-4e50-8420-9c504015b62a,99orj0e32ijv,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.866069096Z,projects/taller3-pcuneo/traces/1e471de5058ff4f26ac51ea04bd7f67b
,,,,,,,,,000000-9630acf8-5f08-476b-a256-66082c439993,27dda1ftxnn6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.009999999999999787 about,2021-10-10T17:58:57.865Z,projects/taller3-pcuneo/traces/7a48cd44c39cdd43ddb645d7e09bca4a
,,,,,,,,,000000-87682044-1706-4633-aac0-35de851129f1,99or1belmmtm,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 197 ms, finished with status: 'ok'",2021-10-10T17:58:57.863448766Z,projects/taller3-pcuneo/traces/6a7c5992e19d2c22d631214b490c87a2
,,,,,,,,,000000-6fa15197-1bf2-48ad-bd2a-92537479b714,99or1belmmtm,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.020000000000000018 home,2021-10-10T17:58:57.862Z,projects/taller3-pcuneo/traces/6a7c5992e19d2c22d631214b490c87a2
,,,,,,,,,000000-fab4b53f-1a97-43a1-8400-5592fee39009,ykgwq6ktujut,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.776695790Z,projects/taller3-pcuneo/traces/fce663a85384ba10cd5559e8faa92a1b
,,,,,,,,,000000-99bc26c6-fa9c-41d6-abce-c6316a1af39d,ykgwqvlfmsy4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 118 ms, finished with status: 'ok'",2021-10-10T17:58:57.772958246Z,projects/taller3-pcuneo/traces/be85f5cbcfc8c66629884f6e0acd3a4d
,,,,,,,,,000000-55eee049-b488-47fe-af22-c7855f9802b7,ykgwqvlfmsy4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.030000000000001137 offices,2021-10-10T17:58:57.771Z,projects/taller3-pcuneo/traces/be85f5cbcfc8c66629884f6e0acd3a4d
,,,,,,,,,000000-3adc5c3d-e997-4883-b85d-d577b3329378,27dda1ftxnn6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.712007212Z,projects/taller3-pcuneo/traces/7a48cd44c39cdd43ddb645d7e09bca4a
,,,,,,,,,000000-3c318677-1245-4bf2-8d42-4e2056a02e07,27dd59kazhbs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 108 ms, finished with status: 'ok'",2021-10-10T17:58:57.709109246Z,projects/taller3-pcuneo/traces/9ef00493a8de3dad07ae44158379991d
,,,,,,,,,000000-6ac869b1-ccef-45e8-bca2-541286b55bab,27dd59kazhbs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.06000000000000005 about,2021-10-10T17:58:57.708Z,projects/taller3-pcuneo/traces/9ef00493a8de3dad07ae44158379991d
,,,,,,,,,000000-7680ca9c-3803-4bbd-9821-076ff86e66a1,99or1belmmtm,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.667494285Z,projects/taller3-pcuneo/traces/6a7c5992e19d2c22d631214b490c87a2
,,,,,,,,,000000-30bf7845-ed98-469a-adc3-b8a3bed7881c,99ord6qjcms8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 87 ms, finished with status: 'ok'",2021-10-10T17:58:57.663076903Z,projects/taller3-pcuneo/traces/0d8a0dfe9d5247c231c05e7f15a5afe0
,,,,,,,,,000000-66194148-3696-49ed-a5ca-b431710ea224,99ord6qjcms8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.020000000000000018 about,2021-10-10T17:58:57.661Z,projects/taller3-pcuneo/traces/0d8a0dfe9d5247c231c05e7f15a5afe0
,,,,,,,,,000000-97fb96cb-44b6-4229-ad25-1eb03fa5fe05,ykgwqvlfmsy4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.655720460Z,projects/taller3-pcuneo/traces/be85f5cbcfc8c66629884f6e0acd3a4d
,,,,,,,,,000000-77e7f205-4310-43ed-8111-78b2f50df849,ykgwg970uxrs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 144 ms, finished with status: 'ok'",2021-10-10T17:58:57.649874574Z,projects/taller3-pcuneo/traces/f5c9246a4480d278c2d5fbb1970a7bfc
,,,,,,,,,000000-b7e67b74-cf04-40c1-90d5-d07c92d90805,ykgwg970uxrs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.019999999999999574 about,2021-10-10T17:58:57.627Z,projects/taller3-pcuneo/traces/f5c9246a4480d278c2d5fbb1970a7bfc
,,,,,,,,,000000-447c03c9-84b8-4d6d-9ee0-9b7364dbab02,27dd59kazhbs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.601643220Z,projects/taller3-pcuneo/traces/9ef00493a8de3dad07ae44158379991d
