httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
0s,HTTP/1.1,2802:8010:153d:d000:de1c:163d:af1f:efe0,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,616329ed000b8dae79fdb46a,,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-10T17:59:10.077530133Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-10T17:59:09.757166Z,projects/taller3-pcuneo/traces/1fe12e51cd5635e02cdd98bb1cac2e47
0s,HTTP/1.1,2802:8010:153d:d000:de1c:163d:af1f:efe0,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,616329ed000b8d113cb3cd4c,,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-10T17:59:10.077530133Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-10T17:59:09.757009Z,projects/taller3-pcuneo/traces/da9474becb9b50d09e60efec4edf1b82
0s,HTTP/1.1,2802:8010:153d:d000:de1c:163d:af1f:efe0,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,616329ed000b8ca819f1dc61,,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-10T17:59:10.077530133Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-10T17:59:09.756904Z,projects/taller3-pcuneo/traces/8195920a127b90e085902dc0ff8646bd
,,,,,,,,,,000000-ffd377f5-d02c-4725-ace4-675ce2901bad,z1svdoqumvvc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.01999999999999602 home GET,2021-10-10T17:59:09.756Z,projects/taller3-pcuneo/traces/9aee924adcc2511a91aed1551d123b7c
,,,,,,,,,,000000-0637a7e3-f023-48d3-b016-448afea6f7f5,x7s16tyjwmie,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.755494160Z,projects/taller3-pcuneo/traces/ddefd61a9de3ccec38b939bb3f0ed845
,,,,,,,,,,000000-2a9f2657-e938-4ad9-93b7-a6736db01566,x7s1tzj4n1s4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 98 ms, finished with status code: 200",2021-10-10T17:59:09.751326932Z,projects/taller3-pcuneo/traces/9ea65af0e24dcb8324d2ec35e6cba9a3
,,,,,,,,,,000000-0b81a7dc-c66d-492f-8af1-fa0db65f2987,eemmdrjs0ffz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.687315177Z,projects/taller3-pcuneo/traces/0679c184591b21bb362ddc0f22738a3a
,,,,,,,,,,000000-fd9f27b2-c95f-4405-84aa-3dccdc1d0f67,x7s1tzj4n1s4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 home POST,2021-10-10T17:59:09.686Z,projects/taller3-pcuneo/traces/9ea65af0e24dcb8324d2ec35e6cba9a3
,,,,,,,,,,000000-6de01db0-c5a2-451a-9164-d6ae9c898f23,eemm04td4as8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 70 ms, finished with status code: 200",2021-10-10T17:59:09.684097004Z,projects/taller3-pcuneo/traces/3e763d2760cdaa7057b187b0dfb33946
,,,,,,,,,,000000-3aa5f370-d11a-4f54-9f56-4770af02d20f,eemm04td4as8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.010000000000005116 home POST,2021-10-10T17:59:09.677Z,projects/taller3-pcuneo/traces/3e763d2760cdaa7057b187b0dfb33946
,,,,,,,,,,000000-ea0a3111-b0c2-4fb4-9dcb-070250806684,z1svdoqumvvc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.666260424Z,projects/taller3-pcuneo/traces/9aee924adcc2511a91aed1551d123b7c
,,,,,,,,,,000000-991dd39e-1fce-47bb-83be-66838930ea3c,z1svf1ngkvvf,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 100 ms, finished with status code: 200",2021-10-10T17:59:09.661735652Z,projects/taller3-pcuneo/traces/f6f82c14cef90fdf28c5d79bd09e1ba2
,,,,,,,,,,000000-53ee2c6d-0f9c-4778-a365-453f5fed0f3e,z1svf1ngkvvf,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.04000000000000625 home GET,2021-10-10T17:59:09.660Z,projects/taller3-pcuneo/traces/f6f82c14cef90fdf28c5d79bd09e1ba2
,,,,,,,,,,000000-b8593f69-87f9-4fb4-a2de-6e3678328b18,x7s1tzj4n1s4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.653718765Z,projects/taller3-pcuneo/traces/9ea65af0e24dcb8324d2ec35e6cba9a3
,,,,,,,,,,000000-8440de5a-4d5a-4004-9630-30c7b0921a17,x7s1b22u3rp5,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 92 ms, finished with status code: 200",2021-10-10T17:59:09.649309326Z,projects/taller3-pcuneo/traces/c987b629e9a14485a1a782628d0f5d28
