httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,389,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca00070848ebd5cb39,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460872Z,projects/taller3-pcuneo/traces/cd8d94e270dfd950d5692cb3e0132eaf
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca00070807381572de,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460807Z,projects/taller3-pcuneo/traces/200cd74cad29ce4787a4a84634699164
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707eaadd8a828,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460778Z,projects/taller3-pcuneo/traces/8160d08ca190732173c78966c93757ef
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707d9d8f0d6be,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460761Z,projects/taller3-pcuneo/traces/602ab469e720194d9ebe789de948f650
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,408,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/jobs,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707d52c17c22e,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460757Z,projects/taller3-pcuneo/traces/7cc878deb4d1946fbf790db9aad70e67
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,412,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/legals,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707d2c2cfe4cc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460754Z,projects/taller3-pcuneo/traces/7b59fd157c71ed50e9e5ecf5a04c8054
0s,HTTP/1.1,201.176.130.88,POST,405,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,216.239.36.54,429,python-requests/2.26.0,6161e0ca000707c819be8835,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460744Z,projects/taller3-pcuneo/traces/0cf66db1cc59748b1814b82541958e13
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707ba03578a9e,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460730Z,projects/taller3-pcuneo/traces/790677fedcddc09dab4f5bc886514a6e
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,392,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/offices,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0ca000707a481e3d0ec,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:50.658670399Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:50.460708Z,projects/taller3-pcuneo/traces/aa36e29fd9a4a994d618ab2b1d8381e7
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8dc5dafe9cc2,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953797Z,projects/taller3-pcuneo/traces/a32af1924cafe14af95a5c989f3876b6
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8dc19c11aa16,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953793Z,projects/taller3-pcuneo/traces/b0a23156233d5cfdfc1283cf8342128c
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8db6d43f52b4,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953782Z,projects/taller3-pcuneo/traces/dcdfc18d9f6a45fa1053c1975adc4c3d
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,412,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/offices,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8d981b678f65,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953752Z,projects/taller3-pcuneo/traces/a7971cf210a7f5d2c4a65d480ae0befb
0s,HTTP/1.1,201.176.130.88,POST,405,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,216.239.36.54,429,python-requests/2.26.0,6161e0c9000e8d730ccb38e3,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953715Z,projects/taller3-pcuneo/traces/e3341078d46a477f70cd49bf676ed0e1
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,411,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8d6e01026a21,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953710Z,projects/taller3-pcuneo/traces/f3377c6640835a5aa800e41002845dc5
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8d3c433a1235,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953660Z,projects/taller3-pcuneo/traces/8ca40973b84f14408a230bab79bd4b2e
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8d1e88631738,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953630Z,projects/taller3-pcuneo/traces/0edf0e5e6f87f2c09e92e7b014a6a45d
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,412,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/offices,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8cd2d1fff1e0,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953554Z,projects/taller3-pcuneo/traces/b950f32c74030cb33075e924328d7720
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,391,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c9000e8c6311cb71b7,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.991199561Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.953443Z,projects/taller3-pcuneo/traces/b493de45a0ec49e1c8f17572952f63ed
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c90006e1393d846d8f,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.506628273Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.450873Z,projects/taller3-pcuneo/traces/92bac8c3961510d84d8955ca97fa75a6
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,408,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c90006e10f698f9848,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.506628273Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.450831Z,projects/taller3-pcuneo/traces/07c1f2d5fc46ae13cfeab3279356ca91
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c90006deeab18a5d86,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.659293713Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.450282Z,projects/taller3-pcuneo/traces/37b31ecf51426374c8e998674a7d74f1
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/jobs,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c90006dedcecbb90e3,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.659293713Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.450268Z,projects/taller3-pcuneo/traces/65d7967a1ab8760ae6567835cd24c34e
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,411,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/legals,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c90006ded3c99517f9,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.659293713Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:49.450259Z,projects/taller3-pcuneo/traces/4bacb296f35c44cfb8f43f11728ef092
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c8000e68eeb098a419,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:49.170334185Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:48.944366Z,projects/taller3-pcuneo/traces/0e63278c687ad57967be1f6dac133a6e
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c80006c34fccecefce,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:48.503880600Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:48.443215Z,projects/taller3-pcuneo/traces/b9ba31cbc680bf4d1865f9baff450410
0s,HTTP/1.1,201.176.130.88,POST,403,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,216.239.36.54,429,python-requests/2.26.0,6161e0c80006c346ce810cd5,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:48.503880600Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:48.443206Z,projects/taller3-pcuneo/traces/ef3e0722bfa24586851e77ada03ae075
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,385,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0c800059b2249cbf2c8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:48.661959968Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:48.367394Z,projects/taller3-pcuneo/traces/c265c406d0497bce55b9e1f21add7dc6
